Image_ID,BF_Score_Ref_True (%),BF_Score_Ref_Edited (%),FLANN_Score_Ref_True (%),FLANN_Score_Ref_Edited (%)
001,71.43,50.0,0.0,0.0
002,2.79,1.64,55.56,66.67
003,8.0,1.65,35.71,41.67
004,6.45,5.13,25.0,33.33
005,9.81,13.33,24.73,15.22
006,31.33,12.96,53.12,16.13
007,71.63,57.14,82.0,67.16
008,4.97,3.32,35.71,66.67
009,38.46,7.34,40.0,44.0
010,64.29,18.18,83.33,44.12
011,7.95,3.0,0.0,0.0
012,26.92,8.33,62.5,40.0
013,52.71,32.0,78.38,80.65
014,5.59,1.7,100.0,28.57
015,40.98,31.34,40.0,72.73
016,35.29,28.57,0.0,0.0
017,8.06,5.38,34.62,24.32
018,11.11,10.61,44.44,80.0
019,2.41,5.49,25.0,22.22
020,9.38,6.25,55.56,71.43
021,10.61,20.0,32.0,0.0
022,16.67,8.05,0.0,0.0
023,100.0,30.85,100.0,65.61
024,11.34,5.26,32.0,55.56
025,1.61,0.75,40.0,50.0
026,1.98,2.06,20.0,40.0
027,6.07,1.74,33.33,66.67
028,1.43,1.43,0.0,50.0
029,4.88,4.99,16.39,16.98
030,2.97,5.45,26.32,29.41
031,5.98,4.0,23.53,33.33
032,7.23,2.81,83.33,50.0
033,0.61,0.53,36.84,31.25
034,3.43,3.07,50.0,47.06
035,8.33,5.41,40.0,38.46
036,33.09,30.23,63.33,50.0
037,1.34,5.71,20.51,16.22
038,8.65,6.36,32.0,36.36
039,3.52,4.14,40.0,57.14
040,8.09,3.23,40.0,66.67
041,31.58,17.02,0.0,83.33
042,2.62,6.67,0.0,100.0
043,1.91,3.57,18.6,33.33
044,3.33,4.5,26.92,18.6
045,8.09,5.73,21.09,19.75
046,1.13,66.67,0.0,0.0
047,2.55,1.62,42.31,24.78
048,1.7,2.62,33.33,33.33
049,12.42,9.03,24.3,20.63
050,2.15,2.45,12.2,15.38
051,61.9,55.53,78.17,63.94
052,7.37,5.26,40.0,33.33
053,5.88,5.7,34.88,25.0
054,4.45,5.88,25.76,19.15
055,5.19,2.0,38.18,41.67
056,80.0,7.41,58.33,50.0
057,19.21,6.93,63.16,27.66
058,20.0,11.67,50.0,100.0
059,33.19,26.7,48.78,35.14
060,13.8,4.56,64.56,23.68
061,11.23,6.74,24.87,21.7
062,0.64,1.67,16.13,18.52
063,15.22,13.04,62.5,80.0
064,61.48,50.13,73.65,60.0
065,56.2,1.63,90.83,16.22
066,3.02,1.84,23.53,16.67
067,28.57,5.76,49.03,32.14
068,3.69,3.74,44.44,43.75
069,65.0,47.06,76.92,87.5
070,9.09,27.27,40.0,0.0
071,2.34,0.92,15.79,29.41
072,22.45,16.67,45.45,42.86
073,3.28,9.2,13.64,33.33
074,67.35,36.81,80.84,47.28
075,5.88,9.68,40.0,13.46
076,31.58,20.0,0.0,0.0
077,28.57,35.71,27.27,41.67
078,3.97,2.41,41.18,35.71
079,36.67,31.03,66.67,66.67
080,0.0,0.0,0.0,0.0
081,34.83,33.47,60.49,56.73
082,38.46,22.73,0.0,0.0
083,1.86,0.7,40.0,45.45
084,70.77,41.44,83.6,68.31
085,100.0,49.11,100.0,75.55
086,1.63,1.87,14.29,32.35
087,0.4,1.55,25.0,38.46
088,4.26,2.95,100.0,0.0
089,11.11,12.96,39.29,62.5
090,39.68,16.13,61.11,56.25
091,9.88,10.71,18.18,50.0
092,2.2,2.37,27.91,18.6
093,1.55,1.15,9.23,6.25
094,17.23,0.59,59.66,11.54
095,0.81,0.68,8.18,37.39
096,1.58,1.19,17.46,0.0
097,33.89,17.76,41.3,66.28
098,26.3,22.57,91.04,83.89
099,0.0,1.47,20.51,17.65
100,0.77,0.86,23.4,12.9
101,18.75,19.23,0.0,0.0
102,2.45,0.85,0.0,0.0
103,57.82,26.85,79.68,64.59
104,4.19,4.17,31.58,31.82
105,14.39,12.5,20.0,54.05
106,40.68,31.49,58.89,44.3
107,100.0,11.76,100.0,0.0
108,100.0,19.44,100.0,71.43
109,8.57,5.98,100.0,0.0
110,16.67,11.86,11.11,100.0
111,3.04,1.97,40.0,0.0
112,18.42,16.67,41.67,47.62
113,6.52,9.21,60.0,50.0
114,24.32,18.75,46.15,0.0
115,12.96,0.0,50.0,53.12
116,3.96,5.74,0.0,0.0
117,17.41,2.54,71.43,57.14
118,4.67,5.34,50.0,40.0
119,40.0,18.06,56.67,44.44
120,4.36,2.11,36.36,12.9
121,10.97,5.06,31.82,0.0
122,7.89,7.69,33.33,57.14
123,29.89,8.13,39.24,23.68
124,37.5,6.48,61.48,40.62
125,28.29,5.88,32.08,28.0
126,36.36,20.59,0.0,0.0
127,17.07,19.23,45.45,0.0
128,37.58,4.88,54.55,41.67
129,14.18,18.06,45.71,50.0
130,0.0,0.0,0.0,0.0
131,7.19,5.3,25.93,25.0
132,3.75,5.25,28.0,40.0
133,5.93,5.19,0.0,80.0
134,27.91,16.0,63.64,45.45
135,24.09,14.41,23.91,20.21
136,9.57,13.21,20.0,24.84
137,10.77,7.69,38.89,39.29
138,15.38,10.0,80.0,62.5
139,17.65,15.38,0.0,0.0
140,13.46,11.76,100.0,0.0
141,30.5,18.76,56.56,51.9
142,4.02,2.88,22.86,38.1
143,11.38,4.04,29.23,9.62
144,54.55,29.41,69.39,73.91
145,54.05,19.23,85.0,0.0
146,0.0,13.85,0.0,83.33
147,16.05,14.13,35.71,25.0
148,16.6,15.91,40.68,52.0
149,6.62,2.45,20.0,22.22
150,4.0,2.09,33.33,0.0
151,21.88,13.79,60.0,71.43
152,55.71,18.79,62.99,59.09
153,79.89,17.55,96.99,69.23
154,11.84,5.31,31.58,43.24
155,15.22,18.92,55.56,0.0
156,75.46,55.99,85.51,67.06
157,74.73,30.88,89.95,50.62
158,15.96,1.15,24.82,16.28
159,34.0,20.72,60.0,47.06
160,75.61,78.57,87.5,77.78
161,11.11,3.12,11.0,0.0
162,5.54,5.42,17.73,20.45
163,17.72,5.34,76.92,50.0
164,17.65,10.53,0.0,0.0
165,11.48,5.19,45.45,0.0
166,55.56,28.57,0.0,0.0
167,11.48,6.45,100.0,80.0
168,32.89,19.64,43.75,80.0
169,22.3,43.58,47.21,39.68
170,45.01,40.75,49.49,43.99
171,20.59,8.43,34.78,0.0
172,24.0,6.06,0.0,100.0
173,1.3,0.8,25.86,13.89
174,2.35,1.59,21.43,30.77
175,8.33,11.48,26.67,33.33
176,18.75,14.29,23.81,62.5
177,1.27,2.01,19.61,18.37
178,7.89,15.22,71.43,0.0
179,1.24,2.96,11.76,32.99
180,43.9,53.93,58.0,43.82
181,4.88,3.8,16.67,15.38
182,8.43,8.24,0.0,0.0
183,17.26,17.67,71.05,38.46
184,3.51,4.42,8.89,15.62
185,3.23,2.36,66.67,50.0
186,9.9,6.37,36.36,21.25
187,14.29,17.07,14.29,13.16
188,1.62,1.69,38.46,44.44
189,3.94,5.93,42.86,4.35
190,11.04,8.15,68.29,25.0
191,49.37,35.65,73.68,44.79
192,0.59,0.62,34.48,31.58
193,3.01,2.49,20.45,53.85
194,2.59,1.44,35.29,27.78
195,3.08,1.05,44.44,57.14
196,73.61,53.82,85.39,75.55
197,4.37,4.15,31.82,20.0
198,5.29,2.35,41.46,36.36
199,0.35,0.64,6.92,25.49
200,5.69,8.43,100.0,62.5
