Image_ID,Total_Points_Trouvés (Ref-True),Score_Ref_True (%),Total_Points_Trouvés (Ref-Edit),Score_Ref_Edited (%),Dégradation_IA (%),Score_True_Edited (%)
001,2048,25.98,2048,27.0,-1.03,90.23
002,2048,15.14,2048,16.06,-0.93,95.75
003,2048,17.24,2048,19.73,-2.49,95.21
004,2048,13.33,2048,10.5,2.83,100.0
005,2048,73.44,2048,67.33,6.1,100.0
006,2048,32.47,2048,37.26,-4.79,99.85
007,2048,97.8,2048,94.19,3.61,99.9
008,2048,40.33,2048,23.97,16.36,99.07
009,2048,31.25,2048,33.64,-2.39,98.34
010,2048,66.26,2048,66.89,-0.63,99.71
011,2048,24.02,2048,6.93,17.09,100.0
012,2048,38.28,2048,48.14,-9.86,73.24
013,2048,59.81,2048,64.45,-4.64,100.0
014,2048,47.12,2048,25.1,22.02,100.0
015,2048,20.61,2048,19.73,0.88,88.87
016,2048,15.62,2048,22.71,-7.08,98.93
017,2048,67.53,2048,67.14,0.39,98.83
018,2048,15.04,2048,11.72,3.32,100.0
019,2048,6.84,2048,7.03,-0.2,98.97
020,2048,18.21,2048,16.85,1.37,48.44
021,2048,15.58,2048,6.35,9.23,3.42
022,2048,8.84,2048,2.34,6.49,67.72
023,2048,100.0,2048,99.46,0.54,99.8
024,2048,19.87,2048,23.1,-3.22,100.0
025,2048,19.78,2048,20.51,-0.73,100.0
026,2048,9.28,2048,12.55,-3.27,100.0
027,2048,20.95,2048,24.76,-3.81,76.76
028,2048,14.16,2048,11.04,3.12,100.0
029,2048,19.24,2048,18.75,0.49,100.0
030,2048,6.98,2048,8.5,-1.51,100.0
031,2048,16.16,2048,16.99,-0.83,97.27
032,2048,18.6,2048,18.95,-0.34,99.95
033,2048,13.67,2048,14.31,-0.63,98.97
034,2048,7.96,2048,5.52,2.44,100.0
035,2048,12.45,2048,7.23,5.22,86.62
036,2048,25.34,2048,3.52,21.83,98.88
037,2048,12.84,2048,5.52,7.32,99.95
038,2048,19.14,2048,6.05,13.09,14.36
039,2048,14.6,2048,10.5,4.1,99.9
040,2048,13.57,2048,12.94,0.63,100.0
041,2048,32.67,2048,1.66,31.01,14.01
042,2048,8.98,2048,6.25,2.73,13.33
043,2048,10.84,2048,5.47,5.37,4.49
044,2048,18.51,2048,16.36,2.15,99.9
045,2048,52.49,2048,50.39,2.1,99.8
046,2048,98.49,2048,66.65,31.84,96.97
047,2048,14.6,2048,13.48,1.12,74.85
048,2048,13.04,2048,12.4,0.63,96.92
049,2048,24.27,2048,24.12,0.15,99.9
050,2048,18.6,2048,18.55,0.05,84.47
051,2048,78.17,2048,77.34,0.83,98.73
052,2048,7.32,2048,10.45,-3.12,8.94
053,2048,42.97,2048,43.36,-0.39,99.95
054,2048,28.08,2048,29.2,-1.12,94.97
055,2048,30.91,2048,32.23,-1.32,64.75
056,2048,98.58,2048,97.02,1.56,92.38
057,2048,63.53,2048,39.31,24.22,100.0
058,2048,9.77,2048,10.89,-1.12,99.8
059,2048,80.32,2048,76.17,4.15,100.0
060,2048,45.7,2048,47.95,-2.25,100.0
061,2048,30.32,2048,31.15,-0.83,100.0
062,2048,63.13,2048,45.12,18.02,99.66
063,2048,13.77,2048,26.71,-12.94,99.37
064,2048,82.96,2048,89.84,-6.88,100.0
065,2048,100.0,2048,2.2,97.8,48.29
066,2048,40.09,2048,19.38,20.7,16.94
067,2048,25.29,2048,23.63,1.66,98.58
068,2048,8.84,2048,9.38,-0.54,99.95
069,2048,92.48,2048,93.85,-1.37,100.0
070,2048,11.08,2048,2.54,8.54,23.93
071,2048,29.05,2048,24.61,4.44,98.88
072,2048,5.62,2048,17.77,-12.16,98.34
073,2048,85.11,2048,64.01,21.09,78.66
074,2048,82.91,2048,99.8,-16.89,78.66
075,2048,12.06,2048,7.42,4.64,99.71
076,2048,7.96,2048,5.96,2.0,98.39
077,2048,84.52,2048,5.22,79.3,64.65
078,2048,36.28,2048,99.85,-63.57,58.2
079,2048,74.12,2048,55.47,18.65,98.78
080,2048,88.67,2048,43.26,45.41,96.0
081,2048,28.17,2048,26.86,1.32,99.85
082,2048,17.43,2048,30.52,-13.09,68.21
083,2048,27.05,2048,26.51,0.54,100.0
084,2048,99.51,2048,99.46,0.05,99.37
085,2048,100.0,2048,99.95,0.05,100.0
086,2048,44.53,2048,6.79,37.74,17.97
087,2048,31.84,2048,3.56,28.27,9.86
088,2048,6.25,2048,2.73,3.52,99.66
089,2048,29.44,2048,22.46,6.98,67.58
090,2048,97.17,2048,95.9,1.27,87.3
091,2048,46.44,2048,44.48,1.95,99.9
092,2048,96.63,2048,94.29,2.34,99.9
093,2048,23.44,2048,21.14,2.29,100.0
094,2048,29.83,2048,27.64,2.2,100.0
095,2048,20.12,2048,7.42,12.7,99.12
096,2048,24.32,2048,6.01,18.31,99.51
097,2048,55.32,2048,55.37,-0.05,100.0
098,2048,58.35,2048,58.35,0.0,100.0
099,2048,3.37,2048,3.03,0.34,100.0
100,2048,26.71,2048,12.89,13.82,96.14
101,2048,20.21,2048,18.95,1.27,100.0
102,2048,10.99,2048,24.27,-13.28,99.56
103,2048,78.12,2048,79.39,-1.27,100.0
104,2048,23.1,2048,7.57,15.53,11.08
105,2048,12.65,2048,14.75,-2.1,30.47
106,2048,53.61,2048,51.22,2.39,99.17
107,2048,100.0,2048,8.4,91.6,8.2
108,2048,100.0,2048,56.15,43.85,55.62
109,2048,16.75,2048,15.09,1.66,16.31
110,2048,4.59,2048,7.28,-2.69,4.59
111,2048,5.81,2048,5.42,0.39,8.45
